raw_character_text,Laura_annotation,Serhii_annotation,Rosaleen_annotation,spoken_words
C. Montgomery Burns,power_wealth_authority,quirky_humor_everyday,,"/ SEE MY VEST, SEE MY VEST / MADE FROM REAL GORILLA CHEST / FEEL THIS SWEATER, THERE'S NO BETTER / THAN AUTHENTIC IRISH SETTER... / SEE THIS HAT, T'WAS MY CAT / MY EVENING WEAR, A VAMPIRE BAT / THESE WHITE SLIPPERS ARE ALBINO / AFRICAN ENDANGERED RHINO... / GRIZZLY BEAR UNDERWEAR / TURTLES NECKS, I'VE GOT MY SHARE / BERET OF POODLE ON MY NOODLE, / IT SHALL REST... / TRY MY RED ROBIN SUIT / IT COMES ONE BREAST OR TWO... / SEE MY VEST, SEE MY VEST, SEE MY VEST / / LIKE... MY... LOAFERS? / FORMER... GOPHERS... / IT WAS THAT OR / SKIN MY CHAUFFEURS"
C. Montgomery Burns,power_wealth_authority,family_romance_loneliness,,"Simpson, I am by most measures a successful man. I have wealth and power beyond the dreams of you and your clock-punching ilk. And yet, I've led a solitary life. The fair sex remains a mystery to me. You seem to have a way with women, a certain... how shall I put it? Animal magnetisme. Help me, Simpson. Tell me your secret."
C. Montgomery Burns,morality_religion_values,morality_religion_values,,"Mmm-hmm. If you can take advantage of a situation in some way, it's your duty as an American to do it. Why should the race always be to the swift or the Jumble to the quick-witted? Should they be allowed to win merely because of the gifts God gave them? Well, I say, cheating is the gift Man gives himself."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Oh. I'm afraid I've had one of my trademark changes of heart. You see, teamwork will only take you so far, then the truly evolved person makes that extra grab for personal glory. Now, I must discard my teammates, much like the boxer must shed roll after roll of sweaty, useless, disgusting flab before he can win the title. Ta!"
C. Montgomery Burns,self_deprecation_insecurity,crime_danger_violence,,"Well, if it's a crime to love one's country, then I'm guilty. And if it's a crime to steal a trillion dollars from our government and hand it over to communist Cuba, then I'm guilty of that, too. And if it's a crime to bribe a jury, then so help me, I'll soon be guilty of that!"
C. Montgomery Burns,self_deprecation_insecurity,work_role_management,,"All right, you rag-tag bunch of misfits. You hate me, and I hate you even more. But without my beloved ringers, you're all I've got. So I want you to remember some inspiring things that someone else may have told you in the course of your lives, and go out there and win!"
C. Montgomery Burns,self_deprecation_insecurity,self_deprecation_insecurity,,"Uh, I'll field that question. A lifetime of working in a nuclear power plant has given me a healthy green glow and left me as impotent as a Nevada boxing commissioner. And now that I'm back to normal, I don't bring you peace and love. I bring you fear, famine, pestilence, and..."
C. Montgomery Burns,power_wealth_authority,work_role_management,,"You know Smithers, I've always despised the laziness of the common worker. Then I realized his spirit was willing, but the flesh was weak. So I replaced the flesh -- which is weak -- with steel, which is strong. Behold, the greatest breakthrough in labor relations since the cat o' nine tails."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Oooh, a tough question, but a fair one. Lisa, there's no single answer. Some voters respond to my integrity. Others are more impressed with my incorruptibility... still others by my determination to lower taxes, and the bureaucrats in the state capital can put that in their pipes and smoke it."
C. Montgomery Burns,power_wealth_authority,quirky_humor_everyday,,"Smithers, there's no way I can lose this bet. Unless, of course, my nine all-stars fall victim to nine separate misfortunes and are unable to play tomorrow. But that will never happen. Three misfortunes, that's possible. Seven misfortunes, there's an outside chance. But nine misfortunes... I'd like to see that."
C. Montgomery Burns,quirky_humor_everyday,work_role_management,,"Huh? What? And by that I mean, of course, it's time for the Worker of the Week Award. I can't believe we've overlooked this week's winner for so very very long. We simply could not function without his tireless efforts. So, a round of applause for... this inanimate carbon rod."
C. Montgomery Burns,power_wealth_authority,quirky_humor_everyday,,"Before you begin, let me make one thing clear to you. I want your legal advice. I even pay for it. But to me you're all vipers. You live on personal injury. You live on divorces. You live on pain and misery...... but I'm rambling. Anybody want any coffee?"
C. Montgomery Burns,quirky_humor_everyday,quirky_humor_everyday,,"IT'S A HIGH TO BE LOA-THED! / CHUCKY, STALIN, MEGATRON / ERIC CARTMAN, DONKEY KONG / VADER, NADER, SIMON LEGREE / TERMINATORS ONE, TWO AND THREE / IAGO, JOKER, VOLDEMORT / MCENROE ON CENTER COURT / MR. BURNS AND SKELETOR / KEEP YOUR GOOD GUYS, WHAT A SNORE"
C. Montgomery Burns,quirky_humor_everyday,nostalgia_and_storytelling,,ONCE I BUILT A RAILROAD / MADE IT RUN / MADE IT RACE AGAINST TIME/ ONCE I BUILT A RAILROAD / NOW IT'S DONE / BROTHER CAN YOU SPARE A DIME./ HALF A MILLION BOOTS WENT SLOGGING THROUGH HELL / I WAS THE KID WITH THE DRUM.
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"I'll keep it short and sweet. Family, religion, friendship: these are the three demons you must slay if you wish to succeed in business. When opportunity knocks, you don't want to be driving to the maternity hospital or sitting in some phony baloney church. Or synagogue. Questions?"
C. Montgomery Burns,quirky_humor_everyday,morality_religion_values,,"Oh, so Mother Nature needs a favor? Well, maybe she should have thought of that when she was besetting us with droughts and floods and poison monkeys. Nature started the fight for survival and now she wants to quit because she's losing? Well, I say ""hard cheese!"""
C. Montgomery Burns,power_wealth_authority,family_romance_loneliness,,"""All I lost was money?"" Let me make one thing perfectly clear -- our dalliance meant nothing to me! You were but a sprig of parsley garnishing my beefsteak, and now I cast you aside for the busboys to gnaw upon! Consider this ill-conceived affair terminated!"
C. Montgomery Burns,morality_religion_values,morality_religion_values,,"The truth is this fish is a miracle of nature with a taste that can't be beat. Mmmm mmmm. So, to summarize: Say what you want about me. I can take the slings and arrows. But stop slandering poor, defenseless Blinky. Good night and God bless."
C. Montgomery Burns,self_deprecation_insecurity,self_deprecation_insecurity,,"No, Homer. You've already done more for me than any man. Your brutal attack forced me to fend for myself. I realize now that being waited on hand and foot is okay for your average Joe, but it's not for me. I want to thank you."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Beatles, eh? Oh, yes. I seem to remember their off-key caterwauling on the old Sullivan show. What was he thinking? Mrs. Simpson, this commission and all its glory can be yours, but first you must look me straight in the eye and answer one simple question."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Shut up, Smithers. Can't you see what he's saying? A happy worker is a busy worker. Three cents worth of tartar sauce could save us thousands of man-hours in labor. I like the cut of your jib, Simpson. Let the fools have their tar-tar sauce!"
C. Montgomery Burns,self_deprecation_insecurity,crime_danger_violence,,"Well... all right, then. I don't want to seem like an ogre. I'll bide my time. Let him twist in the wind... slowly... slowly. And then... when the papers have found their new ""flavor of the month"", he'll find out this cat has claws!"
C. Montgomery Burns,power_wealth_authority,family_romance_loneliness,,"Smithers, do you realize, if I had died there would be no one to carry on my legacy? Due to my hectic schedule and lethargic sperm, I never fathered an heir. Now I have no one to leave my enormous fortune to. No one."
C. Montgomery Burns,power_wealth_authority,work_role_management,,"A plant employee carrying on like an oversexed orangutan in heat! This is a family nuclear-power plant, Simpson. Our research indicates that over 50 percent of our power is used by women. I will not have you offending my customers with your bawdy shenanigans!"
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Think of the economy as a car and the rich man as the driver. If you don't give the driver all the money, he'll drive you over a cliff. It's just common sense. Furthermore, rich people feel things more deeply than the common man."
C. Montgomery Burns,self_deprecation_insecurity,work_role_management,,"Yes, thank you, everyone. But -- 10% of your applause should go to my little partner, Lisa Simpson. For if it were not for her infectious moralizing, we would not be here today to witness the unveiling of... The Li'l Lisa Recycling Plant!"
C. Montgomery Burns,family_romance_loneliness,nostalgia_and_storytelling,,"Who should appear but the unrequited love of my college years, Mimsy Bancroft...Of course, by then Mimsy had her share of wrinkles and a gray hair or two, but my adoring eyes saw past those minor imperfections to her 21-year-old daughter, Lily."
C. Montgomery Burns,work_role_management,work_role_management,,"All right. Let me start off by telling you this will not be a walk in the park. This will be the most arduous and backbreaking weekend of your life. I cannot overemphasize the dangers which... did you bring your family, Simpson?"
C. Montgomery Burns,crime_danger_violence,crime_danger_violence,,"Excellent. I'm so keen on seeing Watson vs. Tatum II, I'd even go to an employee's house. Oh, I can picture it now. The screen door rusting off its filthy hinges. Mangy dog staggering about looking vainly for a place to die."
C. Montgomery Burns,nostalgia_and_storytelling,nostalgia_and_storytelling,,"My older brother was trampled by a horse, my sister died of a poisoned potato, my twin was shot, that girl was stabbed, he ate another poisoned potato, spontaneous combustion, fell down a well, potato, potato, and impaled on the Chrysler Building."
C. Montgomery Burns,power_wealth_authority,nostalgia_and_storytelling,,"Oh, don't pooh-pooh a nickel, Lisa. A nickel will buy you a steak and kidney pie, a cup of coffee, a slice of cheesecake, and a newsreel! With enough change leftover to ride the trolley from Battery Park to the Polo Grounds."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Oh, did you say a million? I'm... I'm sorry, my mind was elsewhere. I thought you would start with a small amount, then we would bait each other and... well, you know how it goes. Yes... certainly, a million will be fine."
C. Montgomery Burns,nostalgia_and_storytelling,nostalgia_and_storytelling,,"Oh, there was a terrible scandal. Lily's family forced her to give you up and bundled her off to a convent in the South Seas. I never heard from her again. But I prattle on -- tell me everything about your life."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Smithers, I've just seen the most heroic dog on television. He pulled a toddler from the path of a speeding car, then pushed a criminal in front of it. Find this dog. I want to make him my executive vice president."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Take fifty percent of my money and put it in the blue chips: Trans-Atlantic Zeppelin, Amalgamated Spats, Congreve's Inflammable Powders, U.S. Hay... and sink the rest into that up-and-coming Baltimore Opera Hat Company. That should set things right again, eh, boys?"
C. Montgomery Burns,quirky_humor_everyday,quirky_humor_everyday,,"Oh, but these aren't just any donuts. These donuts were made the old-fashioned way: the dough is sweetened with Cuban sugar from pre-Batista plantations, then it's deep fried in the tallow of three different animals, two of which are now extinct."
C. Montgomery Burns,work_role_management,work_role_management,,"As your new manager, I want to say this up front. No one is assured a spot in the starting line-up. I don't care if your name is Steve Sax, Darryl Strawberry, or... Smithers, what's one of the bad players' names?"
C. Montgomery Burns,nostalgia_and_storytelling,self_deprecation_insecurity,,"Ooh, I was big man on campus until my senior year, when I became as bald as a plucked chicken. You see, Simpson, I too know the sting of male-pattern baldness. That's why I'm giving you your old job back."
C. Montgomery Burns,work_role_management,work_role_management,,"When I made you a hoop you split your pants! Now here at the plant there's no position more important than our accounts man, who's responsible for glad-handing our customers and suppliers. I'd like you to take over that position."
C. Montgomery Burns,work_role_management,power_wealth_authority,,"Wrong. All beer trucks heading towards Springfield have been diverted. This town will be as dry as a bone. And if the rest of you beer swilling tube jockeys out there have a problem with this, talk to Homer Simpson."
C. Montgomery Burns,family_romance_loneliness,power_wealth_authority,,"Go back to your tenements, where the O'Briens live next to the Goldbergs, who rub elbows with Antonellis, and the only thing you have in common is the squalor of your chamber pot. Oh how I hate you! Bye-bye."
C. Montgomery Burns,self_deprecation_insecurity,self_deprecation_insecurity,,"It wasn't kindness that was keeping me alive, it was bile building up inside! Loathing is my life blood and rage my royal jelly! So yes, thank you, Springfield, for giving me the secret to eternal life -- hate!"
C. Montgomery Burns,crime_danger_violence,crime_danger_violence,,"Well, I... you see... it's just is it a crime to want nice things? And then to steal them from a public museum where any gum-chewing monkey in a Tufts University jacket can gawk at them? I think not!"
C. Montgomery Burns,nostalgia_and_storytelling,nostalgia_and_storytelling,,"Heh, heh. As well they might. You know, Smithers, when I was a young buck, my patented fadeaway pitch was compared by many to the ""trouble ball"" of the late great Satchel Paige. Spit on this for me, Smithers."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"And we've got to change our approach to immigration. I have a progressive proposal to let into this country, two hundred grimy Irishmen a year. I've got lots of potatoes that need peeling and stables to be mucked out."
C. Montgomery Burns,work_role_management,work_role_management,,"Hear me out, Simpson. I don't want you to come back as a Technical Supervisor, or Supervising Technician, or whatever the hell you used to do. I want you to be in charge of safety here at the plant."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Oh, look! Some careless person has left thousands and thousands of dollars just lying here on my coffee table. Uh, Smithers, why don't we leave the room and hopefully, when we return the pile of money will be gone."
C. Montgomery Burns,quirky_humor_everyday,crime_danger_violence,,"You know, it's funny, Smithers. I tried every tincture and poultice and tonic and patent medicine there is. And all I really needed was the blood of a young boy. By the way, what was the lad's name?"
C. Montgomery Burns,work_role_management,power_wealth_authority,,"I call our product: Li'l Lisa's Patented Animal Slurry! It's a high-protein feed for farm animals, insulation for low-income housing, a powerful explosive, and a top-notch engine coolant. And best of all, it's made from 100% recycled animals!"
C. Montgomery Burns,power_wealth_authority,work_role_management,,"Now, before we adjourn, gentlemen, I have one last matter of utmost importance. I need to send this parcel with the profit projections to Pete Porter in Pasadena - And it absolutely, positively has to be there overnight!"
C. Montgomery Burns,work_role_management,power_wealth_authority,,"Look at them all, through the darkness I'm bringing. They're not sad at all, they're actually singing! They sing without juicers! They sing without blenders! They sing without flunjers, capdabblers and smendlers! Tell Simpson I'm ready to deal"
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,But I have a new scheme that will undo the terrible damage done by my other schemes. I have an appointment with a Nigerian King to negotiate a uranium deal that will put me right back on top.
C. Montgomery Burns,quirky_humor_everyday,quirky_humor_everyday,,"In closing, gentle reader, I'd like to thank you. What's that you say? Me thanking you? No, it's not a misprint. For you see, I enjoyed writing this book as much as you enjoyed reading it. The end."
C. Montgomery Burns,work_role_management,morality_religion_values,,"Well, a bit overly familiar, but I'll allow it. I took in a movie. An appalling little piece of filth. Its leading lady was a blonde harlot who spent half the film strolling around naked as a jaybird."
C. Montgomery Burns,crime_danger_violence,crime_danger_violence,,"Oh, so extortion is the name of your little game, is it Simpson? Very well. Then you get nothing. I have the finest lawyers in Springfield, Simpson. Tangle with me and I'll crush you like a paper cup."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Now, then. Gentlemen, the mayoral campaign is upon us and if we hope to defeat this Joe Quimby we need a candidate with name recognition and media savvy. A true leader who will do exactly as he's told."
C. Montgomery Burns,nostalgia_and_storytelling,nostalgia_and_storytelling,,"Oh, hogwash! Why, I once watched Gentleman Jim Corbett fight an Eskimo fellow bare-knuckled for a hundred and thirteen rounds. Back then, of course, if a fight lasted less than fifty rounds, we demanded our nickel back."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Well, Countess Van Zeplin and I... What in blaze... Now you listen to me, you bargain basement Baudelaire. I'm not some dizzy starlet who can't string two words together. I can write this thing myself. You're fired."
C. Montgomery Burns,crime_danger_violence,crime_danger_violence,,"I could crush him like an ant, but it would be too easy. No, revenge is a dish best served cold. I'll bide my time until... Oh, what the hell. I'll just crush him like an ant."
C. Montgomery Burns,crime_danger_violence,power_wealth_authority,,"I'm not the thief, the government is. Every year you make hard-working Joes like my reporter friend here pay income taxes, and for what? Aid to ungrateful foreigners, do-nothing nuclear missiles, tomb polish for some unknown soldier..."
C. Montgomery Burns,power_wealth_authority,nostalgia_and_storytelling,,"...so that's how I was outfoxed by a little girl and her half-wit companion. When my beautiful stadium was declared a bee sanctuary, and I had to take a third-quarter writedown of eight hundred four million dollars."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Ironic, isn't it Smithers? This anonymous clan of slack-jawed troglodytes has cost me the election, and yet if I were to have them killed, I would be the one to go to jail. That's democracy for you."
C. Montgomery Burns,morality_religion_values,power_wealth_authority,,"Smithers. I keep my friends close and my enemies even closer. He'll slowly regain his confidence as the months and years drift by, blissfully unaware that the sword of Damocles is dangling just above his head."
C. Montgomery Burns,self_deprecation_insecurity,crime_danger_violence,,"Smithers Sr. gave his life to save the plant. And, since cover-ups were all the rage back then, I shoved his heroic corpse down the sewer pipe. I never told Smithers the truth about his father."
C. Montgomery Burns,quirky_humor_everyday,quirky_humor_everyday,,"And worst of all, you took the ""Hamburglar's"" birthday off last Monday and Wednesday! Which is it? Now, my voice is giving out, so I'm just going to poke you for the next hour or so."
C. Montgomery Burns,self_deprecation_insecurity,self_deprecation_insecurity,,"Now that I'm the town's oldest man, I'm starting to realize I'm not a young man anymore. I'll have to start taking better care of myself. You know, I haven't had a medicino checkup in ages."
C. Montgomery Burns,work_role_management,work_role_management,,"...and so our Employee of the Month is the late Roger Ducette, who tragically died from complications due to union organizing. Moving on. The Power Plant's first annual Fourth of July picnic is this coming Saturday!"
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"Ahoy there, Dean! I understand you're taking suggestions from students, eh? Well, me and my Fourth Form chums think it would be quite ""corking"" if you'd sign over your oil well to the local energy concern!"
C. Montgomery Burns,work_role_management,work_role_management,,"Ah, welcome back, Smithers. Say, do you know Homer Simpson? He pitched in around the office while you were away. Bang up job, Simpson, but I guess it's back to your trusty post in sector 7-G."
C. Montgomery Burns,crime_danger_violence,crime_danger_violence,,"Look at that pig stuffing his face with donuts on my time. That's right, keep eating. Little do you know you're drawing ever closer to the poisoned donut. There is a poisoned one isn't there, Smithers?"
C. Montgomery Burns,family_romance_loneliness,family_romance_loneliness,,"She said ""no"" to me. Do you know how many women have said ""no"" to me? One hundred thirty. But only one since I've become a billionaire. And she's the one for me. I'm in love!"
C. Montgomery Burns,work_role_management,quirky_humor_everyday,,"No... I thought... I thought, uh, I'd chauffeur myself this evening! Yes, that's what I thought. How difficult can it be? I'm sure the manual will indicate which lever is the velocitator and which the deceleratrix."
C. Montgomery Burns,work_role_management,work_role_management,,"No. You see, friends... if our anti-nuclear naysayers and choose-up-siders were to come upon an elephant frolicking in the waters next to our nuclear power plant, they'd probably blame his ridiculous nose on the nuclear bogeyman."
C. Montgomery Burns,power_wealth_authority,crime_danger_violence,,"Silence, you sadistic monster! I've got my memory back, and I'm going to wreak a terrible vengeance. Taking an idea I got from a Stephen King book, I'm going to cover this town with a dome!"
C. Montgomery Burns,work_role_management,power_wealth_authority,,"Friends, art lovers, security personnel. Today is a red letter day for the Springfield Palace of Fine Art. A new wing for our museum and a portrait commemorating the man who ponied up the dough."
C. Montgomery Burns,quirky_humor_everyday,quirky_humor_everyday,,"Well, let's see what I've packed for myself today. One bouillon cube, one concord grape, one Philly cheesesteak, and a jar of garlic pickles. No one will want to kiss me after these, eh, Smithers?"
C. Montgomery Burns,quirky_humor_everyday,work_role_management,,"Yes. Now, before I post the starting line-up I want to assure those of you whose names are not on the list, that I'm very disappointed in you. Something was lacking, let's call it heart."
C. Montgomery Burns,quirky_humor_everyday,quirky_humor_everyday,,Many of you consider him to be a hideous genetic mutation. Nothing could be further from the truth. But don't take my word for it. Let's ask an actor portraying Charles Darwin what he thinks.
C. Montgomery Burns,quirky_humor_everyday,nostalgia_and_storytelling,,"Oh, hey ho, men. You know I was watching the DuMont last night and I happened to catch a fascinating documentary on Rommel, the Desert Fox. Now there's a man who could get things done."
C. Montgomery Burns,power_wealth_authority,power_wealth_authority,,"I don't understand. Pigs need food, engines need coolant, dynamiters need dynamite. I'm supplying it to them, at a tidy profit, and not a single sea creature was wasted. You inspired it all, Li'l Lisa."
C. Montgomery Burns,family_romance_loneliness,family_romance_loneliness,,"I have embarked on a ""beneficial friendship"" with a woman with whom I have nothing in common. Her opinions are abhorrent to me. But the passion... well, look at these racy texts she sends me."
