spoken_words,round1_raw_open_code,round2_refined_code,round3_axial_cluster,round4_final_topic
"Hmmm. Well, perhaps I ought to let you folks in on a secret. Do you remember me telling Jimbo Jones that I'd make something of him one day?",miscellaneous,other,other,COM
"Time for a head count. Children, line up according to height... no, weight... no, the sum total of the letters in your last names if each letter is assigned a numeric value according to its place in the alphabet! Quickly now!",miscellaneous,other,other,COM
I LIVE ME IN A MANSION / FULL OF THOSE GRECIAN URNS / BUT I'M LONELY ALL THE LIVE-LONG DAY / THAT'S THE BLUES OF MONTY BURNS,self-reflection / feelings,inner-life,self/identity,PER
"Uh-oh. Two independent thought alarms in one day. The students are over stimulated. Willie, remove all the colored chalk from the classrooms.",miscellaneous,other,other,COM
"Oh, so extortion is the name of your little game, is it Simpson? Very well. Then you get nothing. I have the finest lawyers in Springfield, Simpson. Tangle with me and I'll crush you like a paper cup.",family reference,family,family/relationships,FAM
"Yes, thank you, everyone. But -- 10% of your applause should go to my little partner, Lisa Simpson. For if it were not for her infectious moralizing, we would not be here today to witness the unveiling of... The Li'l Lisa Recycling Plant!",family reference,family,family/relationships,FAM
"Friends, what Homer did was wrong. But I've been thinking -- maybe I was just as wrong to give you those gifts.",miscellaneous,other,other,COM
"It's time for this peacock to show his feathers. You know, the feathers with the big eye that trick them into thinking that's my front? Said feathers are what I'll flaunt!",miscellaneous,other,other,COM
"I know Weinstein's parents were upset, Superintendent, but, but ah, I was sure it was a phony excuse. I mean, it sounds so made up: ""Yom Kip-pur?""",miscellaneous,other,other,COM
"Now then, I'm looking for a suitable young, male heir to leave my fortune to when I pass away. My vast, vast, vast fortune. Vast.",money / wealth,economics,economic/material,ECO
"Now, in case all that smilin' didn't cheer ya up, there's one thing that never fails. A nice glass of warm milk, a little nap, and a total frontal lobotomy.",violence / threat,conflict,conflict/risk,CON
"Simpson, I worked here for three-score and twain. That's sixty-two years in the ""New English"". Now, come with me, I want to show you something.",family reference,family,family/relationships,FAM
"I don't understand. She was my young, sexy fiancÃ©e, he was my sexually virile best friend, and they just drove off in my Bugatti Sexarossa. How could this ever have happened?",miscellaneous,other,other,COM
"Now, Mr. Rude, I just want you to know I'm a good sport. If you want to make fun of my legendary love of cashews, you have at it.",self-reflection / feelings,inner-life,self/identity,PER
"This is a proud day. Now, when people ask if we're in compliance with the Americans with Disabilities Act of 1975, I can say, ""We are closer than ever before!""",community / society,community,community/society,COM
"You betcha! In fact, some parents have been known to hold ""pox parties,"" so other kids in the neighborhood can get the disease when they please.",community / society,community,community/society,COM
"Oh, very much so, but as long as we handle this in a mature and, above all, quiet manner, we'll still get that grant money. Oh, you really scared me there.",money / wealth,economics,economic/material,ECO
She's right. We thought we could enter the den of sin and emerge unscathed. But we were scathed! Those free ginger ales at the casino... I didn't declare them on my taxes!,religion / morality,religion,religion/morals,REL
"Ahoy there, Dean! I understand you're taking suggestions from students, eh? Well, me and my Fourth Form chums think it would be quite ""corking"" if you'd sign over your oil well to the local energy concern!",miscellaneous,other,other,COM
"What? What are you talking about? Clearly make sense, man. I can't understand a word you're saying. You're just babbling incoherently like some sort of...",miscellaneous,other,other,COM
Oh our courts aren't fit to keep children in line. The only thing they're good for is telling women what to do with their bodies. What these boys need is adult supervision.,miscellaneous,other,other,COM
"Now, that's your third helping, young man. It's making you fat and soft... and tender. Hmmm... Uh, you just cut in line, didn't you? Report to detention, Uter.",miscellaneous,other,other,COM
"Capital idea! Let's blow this fascist popsicle stand. We'll purchase a small island somewhere and start our own country, free from the relentless tyranny of Uncle Sam.",miscellaneous,other,other,COM
"Name's Ned Flanders, credits include Jesus in the passion play last year, Jesus in the passion play the year before that, Jesus, Jesus, a kindly hobo who turns out to be -- you guessed it, St. Peter...",religion / morality,religion,religion/morals,REL
"Lisa, Lisa... go home, relax, try to do some kid things. You know, with a ball or something... or decorate your sneakers with a ""Magic""-brand marker.",miscellaneous,other,other,COM
"Attention all students. Please report to an attorney-mandated school assembly. To make time for this, the third grade's performance of ""My Fair Lady"" is cancelled.",work / institution,work,work/authority,WRK
"Well, looks like it's time for another ""'End of the Walk' Talk With Homer and Ned."" Tonight's topic: ""The Niceness of the Evening.""",miscellaneous,other,other,COM
"I'm afraid there are some problems with my tickets. I asked for a center seat, not an aisle seat. I specifically requested not to have the kosher meal. And I booked the flight leaving Saturday morning, not Friday morning!",self-reflection / feelings,inner-life,self/identity,PER
"Thank you, thank you everyone. And now, presenting the ninth wonder of the world, the eighth being Gomer Pyle's heavenly singing voice... I give you! -- the Loch Ness Monster!",religion / morality,religion,religion/morals,REL
"The 2nd Battle of Springfield was fought by the North...the South...and the East...to keep Springfield in, out of, and next to the Union, respectively. Now, the actual battle was fought over there, where that man is standing. But he won't move, so we'll do it here.",community / society,community,community/society,COM
"Okilly-dokilly. Oo, I better go take down the manger scene. If baby Jesus got loose, he could really do some damage.",violence / threat,conflict,conflict/risk,CON
"You know, with all the energy we're puttin' into this sabotage thing, we coulda written sonnets for our wives, or learned to tango, or lovingly restored one of those antique...",family reference,family,family/relationships,FAM
"Ah. Excellent. This is exactly the kind of trickery I'm paying you for. But, but how do we turn your average Joe Sixpack against Mary Bailey?",self-reflection / feelings,inner-life,self/identity,PER
"And worst of all, you took the ""Hamburglar's"" birthday off last Monday and Wednesday! Which is it? Now, my voice is giving out, so I'm just going to poke you for the next hour or so.",self-reflection / feelings,inner-life,self/identity,PER
"Oh, for the love of Peter! That's all anybody brought. Some damn fool went around telling everyone I love that slimy goop. Well, toss it in the pile over there.",miscellaneous,other,other,COM
But I won't become just any bat -- I shall be the terrifying bat who swoops from the sky and sucks the vital essence of his prey. I shall be: Fruit-Bat-Man!,miscellaneous,other,other,COM
"Fella came into the store today and asked for change for a dollar. Well sir, I gave him three quarters by mistake. Took me the whole afternoon to track him down.",money / wealth,economics,economic/material,ECO
"Smithers, I've designed a new plane. I call it the Spruce Moose, and it will carry two hundred passengers from New York's Idlewild Airport to the Belgian Congo in seventeen minutes.",miscellaneous,other,other,COM
"And we've got to change our approach to immigration. I have a progressive proposal to let into this country, two hundred grimy Irishmen a year. I've got lots of potatoes that need peeling and stables to be mucked out.",miscellaneous,other,other,COM
"Oh, you'd win that bet. Seems like I'm spending all my money on religious pay-per-view. Or as I like to call it, ""pray-per-view.""",money / wealth,economics,economic/material,ECO
"Well, I don't care for the speed, but I can't get enough of that safety gear. Helmets, roll-bars, caution flags...",miscellaneous,other,other,COM
"Oooo, look at him strutting around like he's cock of the walk. Well, let me tell you, Homer Simpson is cock of nothing. Why you and I can run this plant ourselves.",family reference,family,family/relationships,FAM
Oh I was just wondering how many boxes of staples I should order for the store. Does ten sound like a lot to you? Twenty? Fifty? What does sound like a lot to you?,miscellaneous,other,other,COM
"Tomorrow is the biggest day of your lives. The Shelbyville game. So lights out at seven-thirty and abstain from coffee, tea, and cola drinks. Make no mistake, they pack a wallop.",leisure / entertainment,leisure,leisure/culture,LEI
"Yes, yes. Very good wrath. Ah, let's see, our foreign exchange student, Uter, has chosen ""Charlie and the Chocolate Factory"". Eh... But this is just an empty box!",miscellaneous,other,other,COM
I see it all now! You're just a bunch of yesmen! I was making the wrong moves and you were too gutless to tell me. Isn't that right?,miscellaneous,other,other,COM
"Now, uh, people, there's been some confusion about our bird-sighting rules. You cannot count birds that you've seen at the zoo, on stamps, or in dreams.",community / society,community,community/society,COM
It won't come down for months. Curse the man who invented helium. Curse Pierre Jules Cesar Janssen! Now to find out who did this.,miscellaneous,other,other,COM
But now it's time to say goodbye. Please get off my property until next year. I suggest you don't dawdle. The hounds will be released in ten minutes.,violence / threat,conflict,conflict/risk,CON
How dare you destroy my valuable wall and spill my priceless acid?! Did you really think you were going to get away with it?,miscellaneous,other,other,COM
"Oh, I should say not. I gave up on L.A. when those TV people made that poor nun fly. All those Puerto Ricans lookin' up her dress. That's not right.",community / society,community,community/society,COM
"Normally I wouldn't ask, but it's an emergency. Mother has a Junebug cornered in the basement and she needs me to finish it off. C'mon, chop chop.",family reference,family,family/relationships,FAM
"Hey, the Simpsons make it up as they go along, and they're as happy as a ribbon in a bible. What do you say, sweetie?",family reference,family,family/relationships,FAM
"Welcome to Earth, local time is ten-thirty-seven, we know you have your choice of portals so thank you for choosing the Burns Hellport, a division of Gulf and Western.",religion / morality,religion,religion/morals,REL
"You know how you said you could help me with any desire and nothing was forbidden? Well, sir, I want you to rid of Lisa's bully teacher.",work / institution,work,work/authority,WRK
"Well then, I should disrobe at once. Housekeeping! Send up a Chinese dressing screen! And one of Firestone's finest vulcanized prophylactics! Be right back.",religion / morality,religion,religion/morals,REL
"Smithers had thwarted my attempt to take candy from a baby, but with him out of the picture, I was free to wallow in my own crapulance.",violence / threat,conflict,conflict/risk,CON
They're telling people we're descended from a pack of apes. Even though there's nothing about it in the Bible!,community / society,community,community/society,COM
"Hello, Simpson. I'm riding the bus today because Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",family reference,family,family/relationships,FAM
"When I was starting out, they said ""You're good -- but are you 'plaque' good?"" Well, today I can say ""Yes I am!""",miscellaneous,other,other,COM
"No, no, no, no, no, no, no. I'm just thinking we could send you to a better place... you know, a place where they can really take care of you.",self-reflection / feelings,inner-life,self/identity,PER
Please don't air this. I'll tell you the winners of the kickball games in advance -- you can make a lot of cabbage betting on k-ball.,leisure / entertainment,leisure,leisure/culture,LEI
"When uranium came from a stream...and atoms were split by hand...then transformed into the kind of electricity that illuminated not just our homes, but our souls as well?",miscellaneous,other,other,COM
"I am pleased to dedicate this remote work terminal. It will allow our safety inspector here to perform his duties from home. And so, excelsior to you, Mr. What's the name of this gastropod?",miscellaneous,other,other,COM
"No, no, no. It's the differences -- of which there are none -- that make the sameness... exceptional. Just tell me what to say!",miscellaneous,other,other,COM
"A.m. kindergarten made the Bart doll. P.m. kindergarten made the Lisa. The point is, we're not allowed to have you in this building.",miscellaneous,other,other,COM
"As Principal, I'd just like to say a few words about what this wonderful woman means to this school and to me.",work / institution,work,work/authority,WRK
"Hmm, yes. I believe that's little Maggie Simpson -- the baby who found my precious teddy-bear Bobo. Oh and there's that, ah Simpson mutt, my former guard dog.",family reference,family,family/relationships,FAM
"Yes, yes, yes. We have to do something. Although, the basketball hoops have been retracted... D.J. Funtimes has already cashed his deposit... And Superintendent Chalmers won't be happy to hear...",miscellaneous,other,other,COM
"Ohhh, that's a nice thought, Toddy, but to build an amusement park you need lots of money, and manpower, and turnstiles...",money / wealth,economics,economic/material,ECO
"Well... all right, then. I don't want to seem like an ogre. I'll bide my time. Let him twist in the wind... slowly... slowly. And then... when the papers have found their new ""flavor of the month"", he'll find out this cat has claws!",miscellaneous,other,other,COM
"But it wasn't clouds and angels playing harps like at the end of so many Three Stooges shorts. It was a golden elementary school, with a teacher's lounge that stretched as far as the eye could see. And no one was ever tardy.",work / institution,work,work/authority,WRK
I started drinking orange juice with pulp! I asked the Reverend and he said it was okay. Then he hung right up on me. That man is cranky at three in the mornin'.,miscellaneous,other,other,COM
"Door to door sugar? What a marvelous idea! What's that, mother? I'm just talking to the sugar man. Mother, I'm a big boy. I can do as I wish. Excuse me.",family reference,family,family/relationships,FAM
"What a charming single entendre. Now look, I know marriage is scary, but if you really think she's the one, it gives you two a shot at forever.",religion / morality,religion,religion/morals,REL
"Well, howdaly-do, Simpson? Gettin' a little exercise, eh? Good for you, pal. Oh, look at this old rascal! He's a wet old baby boy, isn't he? Isn't he? You're just a water monster.",family reference,family,family/relationships,FAM
"Well, in that case... My neighbor Homer released a radioactive ape in my house. It's ah, it's taken over the whole top floor.",community / society,community,community/society,COM
"""Ebony and Ivory""? I'm afraid that song's taken! By me and my mother. You know, people say when we're on stage, it's more like ""Scary-oke."" Scary talented, I assume.",family reference,family,family/relationships,FAM
"Until Mr. Roosevelt's New Deal starts working, this country's still in a depression. I'm spending a fortune on atoms, and we have to cut costs!",money / wealth,economics,economic/material,ECO
"Wonderful. You know, I think this is the best batch we've ever had. I really do. And now, here's Bart Simpson, The Boy of a Thousand Voices.",family reference,family,family/relationships,FAM
"Actually, son, it's a big, ugly Olmec Indian head. It was carved by Meso-American Indians over 3,000 years ago. This gruesome customer is Xt'tapalatakettle, the god of war.",violence / threat,conflict,conflict/risk,CON
"Eh, here's where I stopped checking it last time: September nineteen twenty ni-- Oh, no! Oh, no! Oh, no! Smithers, why didn't you tell me about this market crash?!",miscellaneous,other,other,COM
"I want that oil well! I've got a monopoly to maintain! I own the Electric Company and the Waterworks, plus the hotel on Baltic Avenue.",miscellaneous,other,other,COM
"And now... I must ask that small children leave, good women avert their eyes, and men take a stiff slug of circus whiskey... behold, the most hideous creature of all!",miscellaneous,other,other,COM
"I don't blame you for being upset with me, Homer. I just wanted to give you this letter. I'll leave now.",miscellaneous,other,other,COM
"Well, it's been a tad harder than I thought, but I'm not complaining 'cause I work for a sweet, sweet, boss. You're our foreman, Maude.",work / institution,work,work/authority,WRK
"Hey, Homer! This little thing-a-ma-jig really works great. Now that I've saved the earth, maybe I oughtta spruce up the ol' homestead.",miscellaneous,other,other,COM
"Oh, but you love silhouette night! And then we go through your bird book and make up silly captions and -- Mother, why are you all dressed up?",family reference,family,family/relationships,FAM
"Oh, oh, no, it's just a little campout tonight, then off to my sister's apartment in Capital City. Hey what do think, kids? The big city!",miscellaneous,other,other,COM
"Lisa Simpson, you have just been transferred to the Springfield magnet school for the gifted and troublesome. Please climb into the idling bus.",work / institution,work,work/authority,WRK
Bah! A non-profit organization with oil? I won't allow it! An oil well doesn't belong in the hands of Betsy Bleedingheart and Maynard G. Muskie-vote!,money / wealth,economics,economic/material,ECO
I flew it at an altitude of six feet for a distance of four-and-a-half feet. Then we discovered rain makes it catch fire. Then the FÃ¼hrer fired me.,miscellaneous,other,other,COM
"Lisa, every good scientist is half B.F. Skinner, and half P.T. Barnum. I don't think I need to see the other exhibits. First prize!",miscellaneous,other,other,COM
N-Not yet. But one of the mall security guards took a good long look at a left-handed ice cream scoop.,miscellaneous,other,other,COM
"It's already wiped out the Dodo, the Cuckoo, and the NeNe. And it has nasty plans for the booby, the titmouse, the woodcock, and the titpecker.",miscellaneous,other,other,COM
"You know, it's funny, Smithers. I tried every tincture and poultice and tonic and patent medicine there is. And all I really needed was the blood of a young boy. By the way, what was the lad's name?",miscellaneous,other,other,COM
"... Rod says ""Marco,"" and darn it if Todd doesn't say ""Polo"" right back! Oh, listen to me just running my gums about my kids. You're probably bored silly.",miscellaneous,other,other,COM
"That's right. All his talk of peace and love is really honking off my red Chinese masters. Now Smithers, walk me around the park until I fall asleep. I'm feeling fussy.",self-reflection / feelings,inner-life,self/identity,PER
"Until this, I never thought Homer and Marge were bad parents. But now I know you kids need a less hellbound family.",religion / morality,religion,religion/morals,REL
"Uh, I'm in some hot soup here, Marge. Uh, some teenagers are hanging out in front of the store. I... I think they could start slacking at any moment.",self-reflection / feelings,inner-life,self/identity,PER
"Thanks, Homer. I don't think the school pep squad could've cheered me up more. And they were state runners up in nineteen ninety-seven!",work / institution,work,work/authority,WRK
"Mm-hmm! Now I'm gonna go tsk, tsk, tsk, tsk, tsk, tsk till you give the money back. Tsk, tsk, tsk.",money / wealth,economics,economic/material,ECO
"We want ten percent of the first-dollar gross, full European distribution rights, and access to the most exclusive VIP tent in Sundance.",money / wealth,economics,economic/material,ECO
I'll handle this. Simpson! I'm giving you 'til the count of three to come out. One... two... three. I've done all I can do.,family reference,family,family/relationships,FAM
I'M A COOTIE EATER / I'VE BEEN ONE ALL MY LIFE. / I LIKE THE COOTIES SO MUCH / I HAVE A COOTIE WIFE.,family reference,family,family/relationships,FAM
"But now the ties are motionless. And those in back are virtually inaccessible! Well, it's a moot point, as I have only one tie to begin with. I believe I'll pass.",miscellaneous,other,other,COM
Aren't we in luck? Today's our tithe day and we've got ourselves a transient. Come in my friend. Let us feed and bathe you.,miscellaneous,other,other,COM
"Uh, I'll field that question. A lifetime of working in a nuclear power plant has given me a healthy green glow and left me as impotent as a Nevada boxing commissioner. And now that I'm back to normal, I don't bring you peace and love. I bring you fear, famine, pestilence, and...",self-reflection / feelings,inner-life,self/identity,PER
"No, mother, I did not use any of your talc. I don't know why the bottle feels lighter. Maybe you're just getting stronger!",family reference,family,family/relationships,FAM
"I need to know what's up with Lisa. If her grades drop, we're not technically a school -- we're a tornado shelter with voting booths.",work / institution,work,work/authority,WRK
"Oh, no jury on earth will convict a bunch of moist-eyed mothers. I'll tell you what, ladies, give me my eggs back and I'll let you go.",family reference,family,family/relationships,FAM
"Well son, if you take responsibility for your actions, this could be the start of a better life for you.",family reference,family,family/relationships,FAM
"Spare ribs, eh? I've played a round of tenpins or two in my life, and to me, the word ""spare"" reeks of second best. Give me ten full frames of strike ribs!",miscellaneous,other,other,COM
"Well, I just can't relate to the women of today, Homer. Ah, it's probably me. I'm about as exciting as a baked potato.",self-reflection / feelings,inner-life,self/identity,PER
"No, they might escape and breed. The law is very clear on this: they must be exterminated as quickly and as gruesomely as possible.",miscellaneous,other,other,COM
"Excellent. Well, ""ta"". Hmmm, Smithers, I can still sell 'em snake oil. Now bring me a wine spritzer -- and don't be stingy with the vino.",miscellaneous,other,other,COM
"Smithers, I'm a proud fellow, and it's not easy for me to admit defeat. But I know just the thing to make me feel better -- shopping!",self-reflection / feelings,inner-life,self/identity,PER
"All right, I'd like to call this meeting of the PTA to or-diddly-order and let's see if we can't put an end to this strike fuss, huh? Mrs. Krabappel, why don't you begin?",miscellaneous,other,other,COM
"Hey, here come the Simpsons. N-Now be careful, Homer. There's a fella in the sand right in front of ya...",family reference,family,family/relationships,FAM
"Well, if it'll seal the deal, I'll take a look at your septic tank. See if I can get her hummin' again.",miscellaneous,other,other,COM
"Children, the times, they are a-becoming quite different. Test scores are at an all time low. So I've come up with these ""Academic Alerts."" You will receive one as soon as your grades start to slip in any subject. This way, your parents won't have to wait until report card time to punish you.",miscellaneous,other,other,COM
"It is with great joy and a sense of once again everything is back to where it started, that we welcome our once and future Groundskeeper... Willie!",miscellaneous,other,other,COM
"Oh, indeedily-doodily. I've even been in ""Streetcar"" once before. I played Blanche DuBois! Hmmm huh. Just part of the fun of going to an all-male school.",work / institution,work,work/authority,WRK
"Smithers, do you realize, if I had died there would be no one to carry on my legacy? Due to my hectic schedule and lethargic sperm, I never fathered an heir. Now I have no one to leave my enormous fortune to. No one.",money / wealth,economics,economic/material,ECO
"Homer, I'm in a rhubarb of a pickle of a jam here. I was all set to go off on vacation, when I get called up for jury duty. Oh, it's a corker of a case -- seems a man drove up onto a traffic island and hit a decorative rowboat full of geraniums.",self-reflection / feelings,inner-life,self/identity,PER
"Hmm, not a cloud in the sky -- a perfect day to unveil Operation SLAAAM: So Long Athletics Art And Music. Care for a T-shirt?",leisure / entertainment,leisure,leisure/culture,LEI
"Look at them all, through the darkness I'm bringing. They're not sad at all, they're actually singing! They sing without juicers! They sing without blenders! They sing without flunjers, capdabblers and smendlers! Tell Simpson I'm ready to deal",family reference,family,family/relationships,FAM
"Think of it, all that poor natural gas, trapped underneath your shanties and lean-to's. Smithers, give these two brats what they deserve for sticking their noses in my business.",religion / morality,religion,religion/morals,REL
"Well, I... you see... it's just is it a crime to want nice things? And then to steal them from a public museum where any gum-chewing monkey in a Tufts University jacket can gawk at them? I think not!",miscellaneous,other,other,COM
"Hey Homer, Ya know, I owe you one, buddy. No sooner had I shaved off the old cookie duster, than a lady cast me in a commercial.",miscellaneous,other,other,COM
"This is my pride and joy. I've had hidden cameras planted in every home in Springfield. I got the idea from that movie ""Sliver."" What a delightful romp!",community / society,community,community/society,COM
"""Prisoner 24601""... Why, I wore this for two years in a Viet Cong internment center. Never thought I'd see the old girl again.",family reference,family,family/relationships,FAM
Now see here! You are so not the heartless automatons I was looking for! There's one thing man has that machines can never match: hounds!,violence / threat,conflict,conflict/risk,CON
"Yes. Now, before I post the starting line-up I want to assure those of you whose names are not on the list, that I'm very disappointed in you. Something was lacking, let's call it heart.",self-reflection / feelings,inner-life,self/identity,PER
"Now that you've all agreed to reap the windfall of my death, I must return to my large empty mansion to rattle around and await the inevitable... alone.",miscellaneous,other,other,COM
"Well, if a couple of Chinese bamboo gobblers can win people's hearts, I'm gonna bring them something that man has searched for since the dawn of time.",community / society,community,community/society,COM
"""And the angel said unto them, Fear not: for, behold, I bring you good tidings of great joy, which shall be to all people...",community / society,community,community/society,COM
"While I'm on a roll I'm gonna call that carpet cleaning service and tell them our hallway doesn't count as a room! Hello, is AndrÃ© there? Oh yes, I'll hold!",religion / morality,religion,religion/morals,REL
"""So God blessed Noah and his sons, and said to them... Never again shall there be a flood to destroy the Earth. I set My rainbow in the cloud, and it shall be a sign of the covenant between God and man."" Thank you.",family reference,family,family/relationships,FAM
"Excuse me, that's your salad fork!... That Wi-Fi's for hotel guests only!... What's the matter, sir, too cool to sing ""Happy Birthday?""",religion / morality,religion,religion/morals,REL
"I see what you're saying. We're crowding your plate. In fact, there's no need for us to be here at all. Let's go, Smithers.",community / society,community,community/society,COM
"You are a picture and a half! Well -- hee hee! -- if you're finished by tomorrow, come on over and strap on the feed bag. We're gonna fire up old Propane Elaine and put the heat to the meat! Nummy nummy num!",miscellaneous,other,other,COM
"Oh, I admit it! It's only two-alarm -- two-and-a-half tops! I just wanted to be a big man in front of the kids.",miscellaneous,other,other,COM
"Au contraire, man with no hair! You see, Rod and Todd can only get the chicken pox once, and childhood's the safest time!",miscellaneous,other,other,COM
"Uh... Homer... Ah, about those things you borrowed from me over the years -- you know -- the TV trays, the power sander, that downstairs bathtub... you going to be needing those things in Cypress Creek?",leisure / entertainment,leisure,leisure/culture,LEI
"As the oak said to the beagle, you're barkin' up the wrong tree. I spent the whole morning blackin' out the ""goshes"" and ""darns"" in these Hardy Boys books.",miscellaneous,other,other,COM
"Oh, you betcha! You know, they got velcro straps, a water pump in the tongue, built-in pedometer, reflective sidewalls and little vanity license plates.",miscellaneous,other,other,COM
"It's coming pretty close to the ground. Maybe I can catch it. Don't touch the telescope, Bart. Even a slight change in elevation can destroy a whole morning's work.",miscellaneous,other,other,COM
"Lisa, your outburst was either a sign of deep emotional imbalance, or a passionate response to a sobering truth. Luckily, the treatment for both is intensive therapy.",miscellaneous,other,other,COM
